phuong_phap,nhom,symbol,khung,doan,nguong,n_lenh,ev_r,win_pct,pf,sharpe,maxdd_r,ci_lo,ci_hi,song_sot,ghi_chu
pa_pinbar,PriceAction,eurcad,H4,OOS,0.7,310,-0.05644,40.32,0.905,-0.0481,26.54,-0.18456,0.07212,False,nan
pa_pinbar,PriceAction,eurcad,H4,VALID,0.7,164,-0.08611,38.41,0.859,-0.0736,21.32,-0.26178,0.09794,False,nan
pa_engulfing,PriceAction,eurcad,H4,IS,0.1,1562,-0.0872,38.54,0.857,-0.0747,139.65,-0.14412,-0.0293,False,nan
pa_engulfing,PriceAction,eurcad,H4,OOS,0.1,713,-0.08513,38.99,0.862,-0.0723,70.62,-0.16921,-6e-05,False,nan
pa_engulfing,PriceAction,eurcad,H4,VALID,0.1,429,-0.17563,35.66,0.732,-0.1523,95.05,-0.28576,-0.06718,False,nan
pa_inside_outside,PriceAction,eurcad,H4,IS,0.1,1568,-0.0245,40.5,0.958,-0.0206,59.27,-0.08518,0.03487,False,nan
pa_inside_outside,PriceAction,eurcad,H4,OOS,0.1,651,-0.06617,40.09,0.891,-0.056,76.84,-0.15951,0.02114,False,nan
pa_inside_outside,PriceAction,eurcad,H4,VALID,0.1,415,-0.06774,39.76,0.888,-0.0574,57.46,-0.18014,0.04558,False,nan
pa_bos,PriceAction,eurcad,H4,IS,0.1,1893,-0.00283,42.31,0.995,-0.0024,53.4,-0.05354,0.05048,False,nan
pa_bos,PriceAction,eurcad,H4,OOS,0.1,837,-0.03958,40.98,0.933,-0.0335,43.79,-0.1201,0.03883,False,nan
pa_bos,PriceAction,eurcad,H4,VALID,0.1,476,-0.07961,38.87,0.87,-0.0676,41.54,-0.18733,0.02789,False,nan
smc_fvg,SMC/ICT,eurcad,H4,IS,0.1,1926,-0.00855,42.32,0.985,-0.0073,57.95,-0.05934,0.04562,False,nan
smc_fvg,SMC/ICT,eurcad,H4,OOS,0.1,851,-0.01834,41.83,0.968,-0.0155,54.6,-0.09806,0.06263,False,nan
smc_fvg,SMC/ICT,eurcad,H4,VALID,0.1,508,-0.07249,39.17,0.879,-0.062,41.62,-0.17323,0.03024,False,nan
smc_order_block,SMC/ICT,eurcad,H4,IS,0.1,820,-0.03231,41.22,0.945,-0.0275,69.71,-0.11457,0.04598,False,nan
smc_order_block,SMC/ICT,eurcad,H4,OOS,0.1,386,-0.12124,37.56,0.808,-0.1036,52.16,-0.23993,0.00127,False,nan
smc_order_block,SMC/ICT,eurcad,H4,VALID,0.1,215,-0.02263,42.33,0.961,-0.0192,23.44,-0.17247,0.13278,False,nan
smc_liq_sweep,SMC/ICT,eurcad,H4,IS,0.1,1378,-0.05762,40.42,0.903,-0.0493,119.37,-0.1198,0.00373,False,nan
smc_liq_sweep,SMC/ICT,eurcad,H4,OOS,0.1,588,-0.05467,40.48,0.909,-0.0464,39.94,-0.15052,0.03604,False,nan
smc_liq_sweep,SMC/ICT,eurcad,H4,VALID,0.1,348,-0.02938,41.95,0.949,-0.0252,34.16,-0.14999,0.09237,False,nan
smc_premium_disc,SMC/ICT,eurcad,H4,IS,0.3,2266,-0.03743,40.95,0.936,-0.0318,113.92,-0.08736,0.01096,False,nan
smc_premium_disc,SMC/ICT,eurcad,H4,OOS,0.3,992,0.0272,43.35,1.048,0.0228,44.67,-0.04694,0.0975,False,nan
smc_premium_disc,SMC/ICT,eurcad,H4,VALID,0.3,585,0.0038,42.74,1.007,0.0032,31.04,-0.09169,0.10089,False,nan
elliott_zigzag,Elliott,eurcad,H4,IS,0.1,1394,-0.04338,40.53,0.926,-0.0369,65.05,-0.10548,0.01875,False,nan
elliott_zigzag,Elliott,eurcad,H4,OOS,0.1,621,-0.06993,38.81,0.886,-0.059,65.75,-0.16103,0.02389,False,nan
elliott_zigzag,Elliott,eurcad,H4,VALID,0.1,356,-0.04589,41.01,0.923,-0.039,34.64,-0.17218,0.07252,False,nan
wyckoff_spring,Wyckoff,eurcad,H4,IS,0.1,412,0.113,47.09,1.218,0.0947,12.5,0.00546,0.23343,False,nan
wyckoff_spring,Wyckoff,eurcad,H4,OOS,0.1,182,0.0679,46.15,1.124,0.0566,17.41,-0.10551,0.23097,False,nan
wyckoff_spring,Wyckoff,eurcad,H4,VALID,0.1,104,0.08046,45.19,1.145,0.0661,9.77,-0.15628,0.31892,False,nan
sd_zone,Supply/Demand,eurcad,H4,IS,0.1,1528,-0.06196,40.25,0.896,-0.0531,112.59,-0.11875,-0.00521,False,nan
sd_zone,Supply/Demand,eurcad,H4,OOS,0.1,630,-0.0011,42.54,0.998,-0.0009,29.15,-0.09847,0.08939,False,nan
sd_zone,Supply/Demand,eurcad,H4,VALID,0.1,388,-0.04708,40.46,0.921,-0.0399,34.3,-0.16398,0.07319,False,nan
ctrl_rsi_diverg,Đối chứng,eurcad,H4,IS,0.1,947,-0.0357,41.29,0.939,-0.0303,62.87,-0.11134,0.04324,False,nan
ctrl_rsi_diverg,Đối chứng,eurcad,H4,OOS,0.1,377,0.05588,44.56,1.102,0.0468,21.48,-0.05954,0.18265,False,nan
ctrl_rsi_diverg,Đối chứng,eurcad,H4,VALID,0.1,221,-0.12044,38.46,0.809,-0.1027,31.14,-0.27283,0.03899,False,nan
ctrl_channel_break,Đối chứng,eurcad,H4,IS,0.1,1185,0.00367,42.62,1.006,0.0031,41.26,-0.06494,0.06842,False,nan
ctrl_channel_break,Đối chứng,eurcad,H4,OOS,0.1,503,-0.01595,41.35,0.973,-0.0133,32.92,-0.11782,0.08679,False,nan
ctrl_channel_break,Đối chứng,eurcad,H4,VALID,0.1,290,-0.03352,41.03,0.943,-0.0283,22.71,-0.16348,0.09915,False,nan
ctrl_meanrev_z,Đối chứng,eurcad,H4,IS,0.7,2002,-0.04952,40.66,0.916,-0.0422,133.91,-0.09979,0.00316,False,nan
ctrl_meanrev_z,Đối chứng,eurcad,H4,OOS,0.7,870,0.0061,43.1,1.011,0.0051,47.25,-0.07448,0.08774,False,nan
ctrl_meanrev_z,Đối chứng,eurcad,H4,VALID,0.7,505,-0.00142,42.57,0.998,-0.0012,33.02,-0.10029,0.10397,False,nan
pa_pinbar,PriceAction,eurchf,M5,IS,0.1,104268,-0.44453,37.1,0.448,-0.3796,46349.79,-0.45134,-0.43734,False,nan
pa_pinbar,PriceAction,eurchf,M5,OOS,0.1,48474,-0.65434,36.71,0.322,-0.5328,31719.38,-0.66534,-0.64333,False,nan
pa_pinbar,PriceAction,eurchf,M5,VALID,0.1,30707,-0.67801,36.35,0.304,-0.5517,20828.14,-0.69157,-0.66427,False,nan
pa_engulfing,PriceAction,eurchf,M5,IS,0.1,53964,-0.48121,35.04,0.412,-0.4226,25972.3,-0.49081,-0.47177,False,nan
pa_engulfing,PriceAction,eurchf,M5,OOS,0.1,27279,-0.67382,35.96,0.306,-0.5565,18382.2,-0.68776,-0.65997,False,nan
pa_engulfing,PriceAction,eurchf,M5,VALID,0.1,19623,-0.70882,34.96,0.284,-0.5829,13912.48,-0.72563,-0.69229,False,nan
pa_inside_outside,PriceAction,eurchf,M5,IS,0.1,34220,-0.44831,35.15,0.439,-0.3971,15343.47,-0.45974,-0.43677,False,nan
pa_inside_outside,PriceAction,eurchf,M5,OOS,0.1,11338,-0.60126,35.81,0.348,-0.5062,6819.53,-0.62374,-0.57955,False,nan
pa_inside_outside,PriceAction,eurchf,M5,VALID,0.1,12521,-0.66134,35.75,0.309,-0.5458,8283.58,-0.68232,-0.63921,False,nan
pa_bos,PriceAction,eurchf,M5,IS,0.1,80418,-0.54421,32.86,0.376,-0.4732,43763.87,-0.55235,-0.53634,False,nan
pa_bos,PriceAction,eurchf,M5,OOS,0.1,41172,-0.75729,33.28,0.271,-0.6186,31178.55,-0.76831,-0.74571,False,nan
pa_bos,PriceAction,eurchf,M5,VALID,0.1,24801,-0.74613,33.99,0.271,-0.6098,18507.24,-0.76059,-0.73147,False,nan
smc_fvg,SMC/ICT,eurchf,M5,IS,0.1,70475,-0.49404,34.15,0.41,-0.4303,34817.6,-0.50234,-0.48624,False,nan
smc_fvg,SMC/ICT,eurchf,M5,OOS,0.1,41584,-0.7222,34.18,0.287,-0.5937,30030.63,-0.73409,-0.71043,False,nan
smc_fvg,SMC/ICT,eurchf,M5,VALID,0.1,24691,-0.71807,34.47,0.283,-0.5897,17730.54,-0.73314,-0.70306,False,nan
smc_order_block,SMC/ICT,eurchf,M5,IS,0.1,29050,-0.49003,33.72,0.413,-0.4316,14237.14,-0.50252,-0.47694,False,nan
smc_order_block,SMC/ICT,eurchf,M5,OOS,0.1,14556,-0.658,34.97,0.32,-0.552,9579.78,-0.67833,-0.6384,False,nan
smc_order_block,SMC/ICT,eurchf,M5,VALID,0.1,10945,-0.75119,34.06,0.27,-0.6141,8220.66,-0.77439,-0.72821,False,nan
smc_liq_sweep,SMC/ICT,eurchf,M5,IS,0.1,36928,-0.30894,40.55,0.571,-0.2681,11409.61,-0.32037,-0.29742,False,nan
smc_liq_sweep,SMC/ICT,eurchf,M5,OOS,0.1,11168,-0.48134,39.33,0.432,-0.4031,5377.33,-0.50343,-0.45884,False,nan
smc_liq_sweep,SMC/ICT,eurchf,M5,VALID,0.1,13584,-0.62116,37.95,0.338,-0.504,8440.34,-0.64206,-0.59874,False,nan
smc_premium_disc,SMC/ICT,eurchf,M5,IS,0.7,62837,-0.27192,44.13,0.614,-0.2277,17088.01,-0.2811,-0.26268,False,nan
smc_premium_disc,SMC/ICT,eurchf,M5,OOS,0.7,32498,-0.51435,42.45,0.409,-0.4099,16724.68,-0.52828,-0.50058,False,nan
smc_premium_disc,SMC/ICT,eurchf,M5,VALID,0.7,18958,-0.55531,40.94,0.378,-0.4475,10529.07,-0.57228,-0.53771,False,nan
elliott_zigzag,Elliott,eurchf,M5,IS,0.1,53073,-0.52426,33.27,0.384,-0.4607,27830.33,-0.53368,-0.51454,False,nan
elliott_zigzag,Elliott,eurchf,M5,OOS,0.1,27108,-0.70673,34.64,0.293,-0.5814,19156.22,-0.72172,-0.69246,False,nan
elliott_zigzag,Elliott,eurchf,M5,VALID,0.1,16602,-0.71686,34.29,0.282,-0.5912,11900.59,-0.73568,-0.69776,False,nan
wyckoff_spring,Wyckoff,eurchf,M5,IS,0.1,10493,-0.30052,41.58,0.581,-0.2595,3154.34,-0.32282,-0.27821,False,nan
wyckoff_spring,Wyckoff,eurchf,M5,OOS,0.1,2729,-0.49382,40.23,0.422,-0.4114,1352.85,-0.5378,-0.45087,False,nan
wyckoff_spring,Wyckoff,eurchf,M5,VALID,0.1,3572,-0.66718,37.65,0.308,-0.5436,2383.63,-0.70827,-0.62605,False,nan
sd_zone,Supply/Demand,eurchf,M5,IS,0.1,60418,-0.37373,39.59,0.506,-0.3194,22582.44,-0.38295,-0.36443,False,nan
sd_zone,Supply/Demand,eurchf,M5,OOS,0.1,26166,-0.58485,38.86,0.359,-0.4766,15308.41,-0.59917,-0.56991,False,nan
sd_zone,Supply/Demand,eurchf,M5,VALID,0.1,17652,-0.60324,38.58,0.345,-0.4921,10652.28,-0.62163,-0.58479,False,nan
ctrl_rsi_diverg,Đối chứng,eurchf,M5,IS,0.1,50728,-0.34077,42.59,0.541,-0.2817,17289.34,-0.35089,-0.33008,False,nan
ctrl_rsi_diverg,Đối chứng,eurchf,M5,OOS,0.1,24993,-0.55671,41.89,0.374,-0.4453,13921.12,-0.57214,-0.54136,False,nan
ctrl_rsi_diverg,Đối chứng,eurchf,M5,VALID,0.1,12049,-0.57419,40.15,0.364,-0.4629,6919.78,-0.59631,-0.55138,False,nan
ctrl_channel_break,Đối chứng,eurchf,M5,IS,0.1,42398,-0.54717,32.27,0.378,-0.4769,23204.59,-0.55814,-0.53667,False,nan
ctrl_channel_break,Đối chứng,eurchf,M5,OOS,0.1,21903,-0.75121,33.15,0.278,-0.6162,16455.54,-0.76725,-0.73571,False,nan
ctrl_channel_break,Đối chứng,eurchf,M5,VALID,0.1,14836,-0.75826,33.46,0.267,-0.6215,11249.67,-0.77727,-0.73865,False,nan
ctrl_meanrev_z,Đối chứng,eurchf,M5,IS,0.7,85853,-0.30266,43.23,0.582,-0.2531,25988.84,-0.31064,-0.29443,False,nan
ctrl_meanrev_z,Đối chứng,eurchf,M5,OOS,0.7,41839,-0.535,42.2,0.394,-0.4271,22387.08,-0.54731,-0.5229,False,nan
ctrl_meanrev_z,Đối chứng,eurchf,M5,VALID,0.7,25066,-0.58856,40.29,0.359,-0.4693,14756.96,-0.60468,-0.5736,False,nan
pa_pinbar,PriceAction,eurchf,M15,IS,0.2,33377,-0.27207,39.13,0.602,-0.242,9085.29,-0.28419,-0.25992,False,nan
pa_pinbar,PriceAction,eurchf,M15,OOS,0.2,15932,-0.34576,39.42,0.537,-0.3003,5510.83,-0.36355,-0.32749,False,nan
pa_pinbar,PriceAction,eurchf,M15,VALID,0.2,9483,-0.36134,38.8,0.522,-0.3135,3426.53,-0.38421,-0.33876,False,nan
pa_engulfing,PriceAction,eurchf,M15,IS,0.1,19507,-0.30145,37.44,0.562,-0.2735,5884.02,-0.31713,-0.28628,False,nan
pa_engulfing,PriceAction,eurchf,M15,OOS,0.1,9901,-0.383,37.65,0.498,-0.3374,3793.15,-0.40533,-0.36104,False,nan
pa_engulfing,PriceAction,eurchf,M15,VALID,0.1,6353,-0.3656,38.66,0.513,-0.3204,2327.52,-0.3926,-0.33737,False,nan
pa_inside_outside,PriceAction,eurchf,M15,IS,0.1,13769,-0.31184,36.43,0.553,-0.284,4295.71,-0.32963,-0.29382,False,nan
pa_inside_outside,PriceAction,eurchf,M15,OOS,0.1,5353,-0.39373,36.37,0.483,-0.3514,2109.95,-0.42352,-0.36323,False,nan
pa_inside_outside,PriceAction,eurchf,M15,VALID,0.1,4607,-0.36228,38.33,0.516,-0.3173,1667.71,-0.3953,-0.3276,False,nan
pa_bos,PriceAction,eurchf,M15,IS,0.1,27045,-0.35539,35.12,0.519,-0.3173,9615.77,-0.36883,-0.34157,False,nan
pa_bos,PriceAction,eurchf,M15,OOS,0.1,13142,-0.40403,36.86,0.488,-0.3499,5310.17,-0.42377,-0.38318,False,nan
pa_bos,PriceAction,eurchf,M15,VALID,0.1,8049,-0.42896,36.29,0.466,-0.3729,3457.04,-0.45292,-0.40405,False,nan
smc_fvg,SMC/ICT,eurchf,M15,IS,0.1,22241,-0.31537,36.24,0.555,-0.2836,7018.75,-0.32983,-0.30046,False,nan
smc_fvg,SMC/ICT,eurchf,M15,OOS,0.1,12082,-0.37843,37.54,0.507,-0.3297,4571.06,-0.39807,-0.35687,False,nan
smc_fvg,SMC/ICT,eurchf,M15,VALID,0.1,7545,-0.40383,36.75,0.48,-0.3556,3051.59,-0.42888,-0.37746,False,nan
smc_order_block,SMC/ICT,eurchf,M15,IS,0.1,10128,-0.34144,35.36,0.535,-0.3042,3458.41,-0.36335,-0.31985,False,nan
smc_order_block,SMC/ICT,eurchf,M15,OOS,0.1,5441,-0.42433,35.99,0.475,-0.3668,2307.54,-0.4537,-0.39296,False,nan
smc_order_block,SMC/ICT,eurchf,M15,VALID,0.1,3520,-0.42513,37.39,0.474,-0.3653,1499.15,-0.46401,-0.38603,False,nan
smc_liq_sweep,SMC/ICT,eurchf,M15,IS,0.1,16114,-0.17346,42.29,0.725,-0.1532,2799.68,-0.19116,-0.15561,False,nan
smc_liq_sweep,SMC/ICT,eurchf,M15,OOS,0.1,6263,-0.29565,40.3,0.587,-0.2571,1854.76,-0.3249,-0.26737,False,nan
smc_liq_sweep,SMC/ICT,eurchf,M15,VALID,0.1,5155,-0.29747,41.61,0.592,-0.2536,1538.3,-0.32993,-0.26449,False,nan
smc_premium_disc,SMC/ICT,eurchf,M15,IS,0.7,20528,-0.11032,45.54,0.816,-0.0963,2277.28,-0.12575,-0.09482,False,nan
smc_premium_disc,SMC/ICT,eurchf,M15,OOS,0.7,10350,-0.24631,43.07,0.646,-0.2103,2551.25,-0.26852,-0.22457,False,nan
smc_premium_disc,SMC/ICT,eurchf,M15,VALID,0.7,6087,-0.25886,42.65,0.632,-0.2207,1577.76,-0.28769,-0.23075,False,nan
elliott_zigzag,Elliott,eurchf,M15,IS,0.1,16914,-0.33817,35.65,0.527,-0.3067,5731.85,-0.35471,-0.32197,False,nan
elliott_zigzag,Elliott,eurchf,M15,OOS,0.1,8336,-0.40998,36.38,0.473,-0.3624,3421.49,-0.4338,-0.38587,False,nan
elliott_zigzag,Elliott,eurchf,M15,VALID,0.1,5077,-0.389,37.09,0.49,-0.3436,1980.65,-0.41944,-0.35882,False,nan
wyckoff_spring,Wyckoff,eurchf,M15,IS,0.1,5102,-0.16231,42.41,0.747,-0.1404,832.17,-0.19248,-0.13134,False,nan
wyckoff_spring,Wyckoff,eurchf,M15,OOS,0.1,2085,-0.28345,40.72,0.616,-0.2387,596.91,-0.33604,-0.22918,False,nan
wyckoff_spring,Wyckoff,eurchf,M15,VALID,0.1,1603,-0.29392,41.48,0.603,-0.2471,478.57,-0.3515,-0.23943,False,nan
sd_zone,Supply/Demand,eurchf,M15,IS,0.1,21029,-0.2058,41.51,0.68,-0.1828,4338.39,-0.2206,-0.19132,False,nan
sd_zone,Supply/Demand,eurchf,M15,OOS,0.1,9389,-0.30662,40.33,0.576,-0.2663,2881.05,-0.32997,-0.28108,False,nan
sd_zone,Supply/Demand,eurchf,M15,VALID,0.1,5771,-0.28741,41.5,0.595,-0.2489,1658.86,-0.31729,-0.25706,False,nan
ctrl_rsi_diverg,Đối chứng,eurchf,M15,IS,0.1,15470,-0.14249,44.84,0.765,-0.1255,2228.32,-0.15998,-0.12497,False,nan
ctrl_rsi_diverg,Đối chứng,eurchf,M15,OOS,0.1,7270,-0.24603,43.63,0.642,-0.212,1792.09,-0.27188,-0.2199,False,nan
ctrl_rsi_diverg,Đối chứng,eurchf,M15,VALID,0.1,3587,-0.24559,43.02,0.641,-0.2125,884.05,-0.28447,-0.20934,False,nan
ctrl_channel_break,Đối chứng,eurchf,M15,IS,0.1,15011,-0.36584,34.38,0.514,-0.3248,5492.67,-0.38293,-0.34824,False,nan
ctrl_channel_break,Đối chứng,eurchf,M15,OOS,0.1,7469,-0.4043,36.86,0.492,-0.3476,3018.25,-0.43073,-0.37731,False,nan
ctrl_channel_break,Đối chứng,eurchf,M15,VALID,0.1,4928,-0.43967,35.86,0.461,-0.38,2170.68,-0.47141,-0.40659,False,nan
ctrl_meanrev_z,Đối chứng,eurchf,M15,IS,0.7,28779,-0.13891,44.61,0.775,-0.121,4016.78,-0.15171,-0.12593,False,nan
ctrl_meanrev_z,Đối chứng,eurchf,M15,OOS,0.7,13629,-0.26622,42.73,0.624,-0.227,3631.86,-0.28522,-0.24622,False,nan
ctrl_meanrev_z,Đối chứng,eurchf,M15,VALID,0.7,8194,-0.24877,43.86,0.647,-0.2102,2041.84,-0.27431,-0.22401,False,nan
pa_pinbar,PriceAction,eurchf,H1,IS,0.3,7191,-0.1525,39.97,0.75,-0.1366,1113.66,-0.17913,-0.12746,False,nan
pa_pinbar,PriceAction,eurchf,H1,OOS,0.3,3259,-0.22079,37.8,0.669,-0.1952,721.52,-0.25658,-0.18257,False,nan
pa_pinbar,PriceAction,eurchf,H1,VALID,0.3,1935,-0.1832,39.07,0.719,-0.1599,371.86,-0.23289,-0.13127,False,nan
pa_engulfing,PriceAction,eurchf,H1,IS,0.1,5147,-0.18744,39.11,0.703,-0.1683,964.67,-0.21719,-0.15724,False,nan
pa_engulfing,PriceAction,eurchf,H1,OOS,0.1,2365,-0.16724,40.47,0.741,-0.1453,413.78,-0.21495,-0.12439,False,nan
pa_engulfing,PriceAction,eurchf,H1,VALID,0.1,1518,-0.20928,38.34,0.684,-0.184,326.96,-0.26423,-0.15168,False,nan
pa_inside_outside,PriceAction,eurchf,H1,IS,0.1,4191,-0.17867,38.94,0.721,-0.1577,753.52,-0.21309,-0.14495,False,nan
pa_inside_outside,PriceAction,eurchf,H1,OOS,0.1,1792,-0.145,41.57,0.774,-0.1245,264.09,-0.19984,-0.08689,False,nan
pa_inside_outside,PriceAction,eurchf,H1,VALID,0.1,1232,-0.25622,36.04,0.632,-0.2245,322.94,-0.3191,-0.19575,False,nan
pa_bos,PriceAction,eurchf,H1,IS,0.1,6924,-0.16776,39.02,0.737,-0.1468,1167.33,-0.19437,-0.14154,False,nan
pa_bos,PriceAction,eurchf,H1,OOS,0.1,3315,-0.20613,38.55,0.697,-0.1771,694.45,-0.24558,-0.1674,False,nan
pa_bos,PriceAction,eurchf,H1,VALID,0.1,1953,-0.19105,39.07,0.715,-0.1641,374.41,-0.24443,-0.14244,False,nan
smc_fvg,SMC/ICT,eurchf,H1,IS,0.1,5690,-0.15402,39.88,0.752,-0.1363,878.46,-0.18383,-0.126,False,nan
smc_fvg,SMC/ICT,eurchf,H1,OOS,0.1,2819,-0.21614,37.96,0.678,-0.1889,624.62,-0.26092,-0.17535,False,nan
smc_fvg,SMC/ICT,eurchf,H1,VALID,0.1,1736,-0.23155,37.33,0.656,-0.2046,409.9,-0.28494,-0.17877,False,nan
smc_order_block,SMC/ICT,eurchf,H1,IS,0.1,2839,-0.16555,39.38,0.743,-0.1436,475.74,-0.20682,-0.12138,False,nan
smc_order_block,SMC/ICT,eurchf,H1,OOS,0.1,1446,-0.21325,38.38,0.69,-0.1824,315.83,-0.27781,-0.15168,False,nan
smc_order_block,SMC/ICT,eurchf,H1,VALID,0.1,908,-0.21453,38.88,0.686,-0.1842,195.38,-0.28775,-0.13628,False,nan
smc_liq_sweep,SMC/ICT,eurchf,H1,IS,0.1,4566,-0.16633,39.4,0.732,-0.1486,773.96,-0.19776,-0.13432,False,nan
smc_liq_sweep,SMC/ICT,eurchf,H1,OOS,0.1,2009,-0.16025,41.07,0.752,-0.1382,326.06,-0.20847,-0.10824,False,nan
smc_liq_sweep,SMC/ICT,eurchf,H1,VALID,0.1,1310,-0.11611,42.21,0.814,-0.0994,170.06,-0.18056,-0.05173,False,nan
smc_premium_disc,SMC/ICT,eurchf,H1,IS,0.7,5133,-0.0906,42.51,0.846,-0.0797,509.88,-0.12056,-0.06069,False,nan
smc_premium_disc,SMC/ICT,eurchf,H1,OOS,0.7,2404,-0.10419,42.85,0.832,-0.089,254.49,-0.15277,-0.05855,False,nan
smc_premium_disc,SMC/ICT,eurchf,H1,VALID,0.7,1392,-0.09243,43.18,0.847,-0.0798,129.12,-0.15264,-0.0333,False,nan
elliott_zigzag,Elliott,eurchf,H1,IS,0.1,4284,-0.18437,38.73,0.711,-0.1635,790.89,-0.21725,-0.1516,False,nan
elliott_zigzag,Elliott,eurchf,H1,OOS,0.1,1996,-0.21078,37.93,0.688,-0.1828,425.17,-0.263,-0.16164,False,nan
elliott_zigzag,Elliott,eurchf,H1,VALID,0.1,1233,-0.24211,36.5,0.647,-0.2122,300.35,-0.3035,-0.18112,False,nan
wyckoff_spring,Wyckoff,eurchf,H1,IS,0.1,1396,-0.16528,39.04,0.737,-0.1464,240.25,-0.22476,-0.10334,False,nan
wyckoff_spring,Wyckoff,eurchf,H1,OOS,0.1,554,-0.14552,42.24,0.771,-0.1258,80.83,-0.24432,-0.05161,False,nan
wyckoff_spring,Wyckoff,eurchf,H1,VALID,0.1,389,-0.17463,40.1,0.731,-0.1514,79.25,-0.28932,-0.05845,False,nan
sd_zone,Supply/Demand,eurchf,H1,IS,0.1,5092,-0.15787,40.02,0.742,-0.142,815.53,-0.18927,-0.127,False,nan
sd_zone,Supply/Demand,eurchf,H1,OOS,0.1,2239,-0.13555,41.89,0.783,-0.1179,305.67,-0.18473,-0.08974,False,nan
sd_zone,Supply/Demand,eurchf,H1,VALID,0.1,1297,-0.18307,39.86,0.717,-0.161,239.56,-0.24336,-0.12154,False,nan
ctrl_rsi_diverg,Đối chứng,eurchf,H1,IS,0.1,3577,-0.07655,43.39,0.867,-0.0676,302.46,-0.11392,-0.03952,False,nan
ctrl_rsi_diverg,Đối chứng,eurchf,H1,OOS,0.1,1560,-0.09342,43.46,0.849,-0.0747,146.47,-0.15691,-0.03194,False,nan
ctrl_rsi_diverg,Đối chứng,eurchf,H1,VALID,0.1,847,-0.02426,45.57,0.958,-0.0206,44.89,-0.10735,0.06012,False,nan
ctrl_channel_break,Đối chứng,eurchf,H1,IS,0.1,3892,-0.17275,38.95,0.731,-0.1511,679.87,-0.20877,-0.13601,False,nan
ctrl_channel_break,Đối chứng,eurchf,H1,OOS,0.1,1948,-0.23144,37.53,0.664,-0.2004,461.04,-0.28185,-0.18009,False,nan
ctrl_channel_break,Đối chứng,eurchf,H1,VALID,0.1,1177,-0.22326,37.98,0.674,-0.1929,266.23,-0.29016,-0.15636,False,nan
ctrl_meanrev_z,Đối chứng,eurchf,H1,IS,0.5,7988,-0.12062,41.68,0.799,-0.107,992.73,-0.14655,-0.09574,False,nan
ctrl_meanrev_z,Đối chứng,eurchf,H1,OOS,0.5,3744,-0.12304,42.2,0.804,-0.1055,463.74,-0.16151,-0.08549,False,nan
ctrl_meanrev_z,Đối chứng,eurchf,H1,VALID,0.5,2177,-0.0975,42.95,0.842,-0.0835,221.11,-0.14631,-0.04661,False,nan
pa_pinbar,PriceAction,eurchf,H4,IS,0.7,591,-0.02345,42.81,0.958,-0.0205,51.41,-0.11159,0.06936,False,nan
pa_pinbar,PriceAction,eurchf,H4,OOS,0.7,299,-0.16074,38.13,0.749,-0.1401,48.72,-0.28818,-0.03948,False,nan
pa_pinbar,PriceAction,eurchf,H4,VALID,0.7,190,-0.17087,35.79,0.731,-0.1512,34.62,-0.33207,-0.00481,False,nan
pa_engulfing,PriceAction,eurchf,H4,IS,0.1,1493,-0.09659,40.05,0.839,-0.0843,148.53,-0.15491,-0.03809,False,nan
pa_engulfing,PriceAction,eurchf,H4,OOS,0.1,702,-0.06857,41.03,0.887,-0.0584,82.64,-0.15419,0.01426,False,nan
pa_engulfing,PriceAction,eurchf,H4,VALID,0.1,425,-0.14837,36.71,0.768,-0.1281,69.98,-0.25895,-0.03321,False,nan
pa_inside_outside,PriceAction,eurchf,H4,IS,0.1,1343,-0.05982,41.62,0.897,-0.0519,99.85,-0.12183,0.00115,False,nan
pa_inside_outside,PriceAction,eurchf,H4,OOS,0.1,599,-0.14743,38.06,0.764,-0.1295,93.68,-0.23863,-0.05739,False,nan
pa_inside_outside,PriceAction,eurchf,H4,VALID,0.1,401,-0.1125,38.65,0.818,-0.0972,52.05,-0.22045,-0.00462,False,nan
pa_bos,PriceAction,eurchf,H4,IS,0.1,1776,-0.06762,41.05,0.886,-0.0582,127.49,-0.1192,-0.01196,False,nan
pa_bos,PriceAction,eurchf,H4,OOS,0.1,809,-0.18402,37.08,0.717,-0.1618,154.82,-0.25907,-0.1025,False,nan
pa_bos,PriceAction,eurchf,H4,VALID,0.1,471,-0.07037,41.19,0.884,-0.0598,37.55,-0.1769,0.03366,False,nan
smc_fvg,SMC/ICT,eurchf,H4,IS,0.1,1669,-0.0628,41.1,0.893,-0.0543,134.1,-0.12081,-0.00807,False,nan
smc_fvg,SMC/ICT,eurchf,H4,OOS,0.1,778,-0.15709,37.79,0.754,-0.1371,138.78,-0.23829,-0.07909,False,nan
smc_fvg,SMC/ICT,eurchf,H4,VALID,0.1,471,-0.11436,39.28,0.816,-0.0988,64.32,-0.21784,-0.00997,False,nan
smc_order_block,SMC/ICT,eurchf,H4,IS,0.1,713,-0.07537,40.67,0.874,-0.0647,72.73,-0.15645,0.01096,False,nan
smc_order_block,SMC/ICT,eurchf,H4,OOS,0.1,356,-0.22462,35.96,0.66,-0.2009,78.89,-0.33646,-0.10178,False,nan
smc_order_block,SMC/ICT,eurchf,H4,VALID,0.1,192,-0.05605,41.15,0.907,-0.0476,25.65,-0.21756,0.10926,False,nan
