time,open,high,low,close,tickvol
2023-01-02 20:00,1826.329,1830.629,1824.163,1829.288,2385
2023-01-03 00:00,1829.267,1843.116,1826.809,1841.188,16484
2023-01-03 04:00,1841.191,1849.959,1837.974,1847.501,16772
2023-01-03 08:00,1847.532,1848.009,1830.836,1833.195,24885
2023-01-03 12:00,1833.164,1849.814,1827.59,1833.226,34680
2023-01-03 16:00,1833.208,1840.218,1828.234,1839.074,22381
2023-01-03 20:00,1839.082,1839.89,1836.522,1836.559,8048
2023-01-04 00:00,1836.539,1847.18,1836.222,1845.628,13746
2023-01-04 04:00,1845.661,1858.639,1844.674,1858.31,15434
2023-01-04 08:00,1858.275,1865.124,1856.974,1860.143,21310
2023-01-04 12:00,1860.175,1862.713,1849.027,1857.759,37315
2023-01-04 16:00,1857.763,1860.391,1847.064,1852.489,27862
2023-01-04 20:00,1852.465,1857.182,1851.356,1854.865,8664
2023-01-05 00:00,1854.831,1859.008,1853.332,1853.333,14433
2023-01-05 04:00,1853.329,1855.647,1847.938,1849.36,14351
2023-01-05 08:00,1849.393,1851.346,1843.825,1846.285,19637
2023-01-05 12:00,1846.29,1848.799,1825.072,1826.888,40653
2023-01-05 16:00,1826.862,1837.473,1825.703,1834.313,20422
2023-01-05 20:00,1834.283,1834.283,1831.582,1832.836,7088
2023-01-06 00:00,1832.837,1840.861,1831.302,1839.318,13352
2023-01-06 04:00,1839.315,1840.687,1835.768,1838.376,12906
2023-01-06 08:00,1838.409,1840.51,1833.271,1836.675,16271
2023-01-06 12:00,1836.662,1863.159,1834.642,1862.281,51130
2023-01-06 16:00,1862.318,1869.821,1859.921,1868.886,20452
2023-01-06 20:00,1868.855,1869.349,1865.674,1866.026,5520
2023-01-08 20:00,1866.774,1869.96,1866.753,1869.639,3670
2023-01-09 00:00,1869.632,1879.531,1867.137,1877.204,17933
2023-01-09 04:00,1877.182,1880.934,1873.765,1875.066,14391
2023-01-09 08:00,1875.096,1876.954,1870.527,1873.05,18098
2023-01-09 12:00,1873.056,1881.481,1872.043,1874.704,29086
2023-01-09 16:00,1874.736,1878.487,1869.045,1875.226,20955
2023-01-09 20:00,1875.195,1875.195,1869.213,1870.525,7761
2023-01-10 00:00,1870.515,1875.962,1867.827,1871.858,15887
2023-01-10 04:00,1871.89,1875.218,1870.625,1872.055,12664
2023-01-10 08:00,1872.025,1877.259,1871.619,1875.19,18425
2023-01-10 12:00,1875.166,1880.757,1870.455,1875.706,32267
2023-01-10 16:00,1875.739,1877.379,1871.21,1876.648,18197
2023-01-10 20:00,1876.628,1878.71,1875.945,1877.205,6345
2023-01-11 00:00,1877.234,1878.433,1872.034,1877.699,12764
2023-01-11 04:00,1877.735,1884.592,1876.945,1881.635,14119
2023-01-11 08:00,1881.599,1886.614,1880.963,1883.044,18333
2023-01-11 12:00,1883.013,1883.305,1869.388,1872.011,29509
2023-01-11 16:00,1872.043,1878.501,1867.131,1877.732,19345
2023-01-11 20:00,1877.747,1878.082,1874.504,1876.976,6754
2023-01-12 00:00,1876.972,1884.781,1875.86,1883.594,13530
2023-01-12 04:00,1883.561,1884.999,1879.888,1882.477,12141
2023-01-12 08:00,1882.507,1886.259,1881.193,1885.206,14921
2023-01-12 12:00,1885.175,1901.629,1873.448,1888.849,60699
2023-01-12 16:00,1888.845,1899.547,1888.397,1897.783,23679
2023-01-12 20:00,1897.752,1899.516,1894.228,1898.059,8272
2023-01-13 00:00,1898.061,1900.954,1895.994,1897.864,16162
2023-01-13 04:00,1897.852,1899.9,1892.32,1899.562,15329
2023-01-13 08:00,1899.595,1909.681,1897.989,1899.779,21318
2023-01-13 12:00,1899.745,1916.443,1893.655,1913.703,33866
2023-01-13 16:00,1913.673,1921.891,1909.441,1920.003,20005
2023-01-13 20:00,1920.028,1921.459,1918.475,1920.288,4897
2023-01-15 20:00,1919.104,1920.487,1916.881,1916.93,2928
2023-01-16 00:00,1916.942,1928.863,1916.787,1926.375,15193
2023-01-16 04:00,1926.378,1927.032,1913.268,1917.148,13907
2023-01-16 08:00,1917.104,1919.312,1910.85,1916.569,15941
2023-01-16 12:00,1916.538,1917.218,1911.371,1916.003,16696
2023-01-16 16:00,1916.019,1916.104,1912.803,1915.216,6116
2023-01-16 20:00,1915.042,1918.349,1915.033,1917.893,1506
2023-01-17 00:00,1917.92,1919.033,1909.427,1910.258,14564
2023-01-17 04:00,1910.267,1913.243,1906.986,1910.041,13889
2023-01-17 08:00,1910.023,1912.764,1904.248,1912.683,16677
2023-01-17 12:00,1912.692,1916.618,1907.07,1911.045,30532
2023-01-17 16:00,1911.067,1913.321,1903.708,1907.919,18726
2023-01-17 20:00,1907.888,1910.789,1907.519,1908.728,7569
2023-01-18 00:00,1908.711,1910.357,1899.221,1900.13,20373
2023-01-18 04:00,1900.099,1908.972,1896.597,1907.777,19404
2023-01-18 08:00,1907.778,1916.773,1907.778,1915.684,18300
2023-01-18 12:00,1915.652,1925.899,1911.391,1912.302,39034
2023-01-18 16:00,1912.271,1912.776,1901.584,1905.099,24058
2023-01-18 20:00,1905.129,1907.343,1902.312,1906.856,8021
2023-01-19 00:00,1906.886,1910.73,1900.987,1909.018,16803
2023-01-19 04:00,1908.987,1912.91,1906.406,1911.318,14931
2023-01-19 08:00,1911.357,1916.752,1906.655,1908.133,17467
2023-01-19 12:00,1908.132,1923.291,1906.845,1918.07,32968
2023-01-19 16:00,1918.101,1931.396,1917.657,1929.69,22844
2023-01-19 20:00,1929.658,1935.166,1929.318,1931.717,9673
2023-01-20 00:00,1931.72,1934.835,1927.503,1927.572,13223
2023-01-20 04:00,1927.576,1933.084,1923.193,1933.063,14002
2023-01-20 08:00,1933.02,1937.458,1926.543,1927.059,19115
2023-01-20 12:00,1926.996,1930.952,1920.617,1926.356,28128
2023-01-20 16:00,1926.39,1930.997,1922.825,1929.691,18442
2023-01-20 20:00,1929.666,1929.982,1925.937,1925.954,5023
2023-01-22 20:00,1924.28,1927.364,1924.226,1927.295,2521
2023-01-23 00:00,1927.27,1935.504,1927.27,1930.64,11994
2023-01-23 04:00,1930.637,1931.196,1919.678,1920.261,13918
2023-01-23 08:00,1920.295,1929.352,1918.853,1925.555,17988
2023-01-23 12:00,1925.586,1927.823,1911.334,1922.961,33247
2023-01-23 16:00,1922.991,1929.634,1919.166,1926.413,20625
2023-01-23 20:00,1926.444,1932.729,1925.998,1931.362,7605
2023-01-24 00:00,1931.35,1937.039,1930.807,1933.472,9899
2023-01-24 04:00,1933.464,1941.42,1931.84,1940.35,12900
2023-01-24 08:00,1940.376,1942.47,1934.317,1937.228,17025
2023-01-24 12:00,1937.238,1939.424,1917.037,1935.01,35942
2023-01-24 16:00,1935.042,1938.24,1930.16,1938.093,18950
