2023-01,0.0000
2023-02,-3.0000
2023-03,3.0000
2023-04,-4.0000
2023-05,2.0000
2023-06,-3.0000
2023-07,-5.0000
2023-08,-2.0000
2023-09,7.0000
2023-10,7.0000
2023-11,-1.0000
2023-12,0.0000
2024-01,-6.0000
2024-02,-5.0000
2024-03,8.0000
2024-04,-1.0000
2024-05,3.0000
2024-06,-1.0000
2024-07,0.0000
2024-08,-5.0000
2024-09,2.0000
2024-10,-2.0000
2024-11,3.0000
2024-12,-2.0000
2025-01,-3.0000
2025-02,2.0000
2025-03,2.0000
2025-04,5.0000
2025-05,1.0000
2025-06,0.0000
2025-07,-7.0000
2025-08,1.0000
2025-09,4.0000
2025-10,8.0000
2025-11,1.0000
2025-12,-1.0000
2026-01,8.0000
2026-02,-2.0000
2026-03,4.0000
2026-04,-3.0000
2026-05,2.0000
2026-06,-2.0000
2026-07,-1.0000
