2023-01,10.0000
2023-02,-1.0000
2023-03,2.0000
2023-04,5.0000
2023-05,1.0000
2023-06,5.0000
2023-07,-3.0000
2023-08,4.0000
2023-09,-6.0000
2023-10,6.0000
2023-11,-4.0000
2023-12,4.0000
2024-01,8.0000
2024-02,7.0000
2024-03,-1.0000
2024-04,0.0000
2024-05,-2.0000
2024-06,2.0000
2024-07,-4.0000
2024-08,5.0000
2024-09,-3.0000
2024-10,13.0000
2024-11,-1.0000
2024-12,0.0000
2025-01,3.0000
2025-02,1.0000
2025-03,2.0000
2025-04,0.0000
2025-05,-4.0000
2025-06,2.0000
2025-07,1.0000
2025-08,-6.0000
2025-09,-1.0000
2025-10,8.0000
2025-11,1.0000
2025-12,-4.0000
2026-01,10.0000
2026-02,-6.0000
2026-03,-6.0000
2026-04,-6.0000
2026-05,0.0000
2026-06,1.0000
2026-07,-1.0000
