time,open,high,low,close,tickvol
2023-01-01 00:00,16532.88,16546.48,16505.73,16522.75,13331
2023-01-01 04:00,16522.89,16536.81,16492.71,16513.57,13085
2023-01-01 08:00,16511.43,16544.4,16493.86,16543.03,13238
2023-01-01 12:00,16542.02,16562.8,16522.45,16542.51,13126
2023-01-01 16:00,16542.7,16608.54,16541.99,16589.63,13491
2023-01-01 20:00,16590.04,16619.48,16579.79,16603.49,13415
2023-01-02 00:00,16602.97,16681.65,16535.88,16646.15,13691
2023-01-02 04:00,16647.02,16747.18,16598.34,16708.93,13871
2023-01-02 08:00,16710.3,16750.19,16692.52,16729.71,13730
2023-01-02 12:00,16729.59,16732.92,16657.22,16724.84,13700
2023-01-02 16:00,16725.4,16730.04,16692.19,16721.69,13502
2023-01-02 20:00,16722.2,16773.48,16650.43,16665.66,13728
2023-01-03 00:00,16665.36,16697.49,16635.94,16684.86,13663
2023-01-03 04:00,16684.62,16773.61,16671.76,16724.28,13480
2023-01-03 08:00,16723.73,16745.14,16692.89,16717.62,13594
2023-01-03 12:00,16717.67,16768.65,16605.83,16663.74,13938
2023-01-03 16:00,16663.0,16676.26,16593.15,16627.39,13848
2023-01-03 20:00,16628.21,16680.09,16624.68,16662.49,13645
2023-01-04 00:00,16661.05,16863.61,16639.02,16856.02,13957
2023-01-04 04:00,16855.5,16895.74,16830.42,16859.78,13788
2023-01-04 08:00,16861.66,16902.47,16818.32,16825.2,13472
2023-01-04 12:00,16825.09,16843.63,16747.71,16835.88,13998
2023-01-04 16:00,16835.18,16988.17,16782.04,16827.89,14381
2023-01-04 20:00,16827.07,16856.44,16766.43,16837.79,13674
2023-01-05 00:00,16839.31,16863.91,16798.35,16811.91,13534
2023-01-05 04:00,16812.02,16843.4,16783.91,16814.67,13465
2023-01-05 08:00,16815.7,16829.92,16770.75,16824.49,13576
2023-01-05 12:00,16824.76,16864.57,16750.71,16828.91,14104
2023-01-05 16:00,16827.64,16868.59,16784.23,16853.15,13851
2023-01-05 20:00,16853.23,16863.22,16802.41,16814.8,13659
2023-01-06 00:00,16815.72,16855.48,16791.47,16825.11,13654
2023-01-06 04:00,16824.66,16828.76,16769.71,16776.85,13387
2023-01-06 08:00,16776.61,16803.22,16707.18,16724.35,13603
2023-01-06 12:00,16723.99,16833.75,16644.67,16827.15,14191
2023-01-06 16:00,16826.19,16956.8,16793.86,16929.35,13841
2023-01-06 20:00,16929.66,17030.8,16872.66,16942.58,13923
2023-01-07 00:00,16942.43,16968.49,16923.89,16943.62,13355
2023-01-07 04:00,16943.65,16946.14,16910.06,16934.63,13230
2023-01-07 08:00,16934.67,16944.01,16902.4,16911.43,13271
2023-01-07 12:00,16911.15,16941.49,16894.04,16932.22,13363
2023-01-07 16:00,16932.26,16938.61,16907.78,16931.39,13308
2023-01-07 20:00,16931.62,16942.48,16919.41,16937.58,13373
2023-01-08 00:00,16935.14,16947.17,16900.05,16931.99,13245
2023-01-08 04:00,16932.64,16953.16,16924.3,16948.86,12692
2023-01-08 08:00,16949.66,16955.96,16919.49,16926.78,13277
2023-01-08 12:00,16926.81,17007.14,16910.85,16994.03,13266
2023-01-08 16:00,16994.77,17011.24,16906.26,16917.37,13442
2023-01-08 20:00,16918.89,17155.81,16912.01,17114.96,13837
2023-01-09 00:00,17117.86,17240.2,17093.43,17188.49,14183
2023-01-09 04:00,17189.96,17252.17,17175.19,17193.83,13804
2023-01-09 08:00,17194.65,17276.92,17183.42,17236.61,13736
2023-01-09 12:00,17236.64,17329.03,17184.57,17265.23,13996
2023-01-09 16:00,17264.93,17389.85,17261.63,17285.98,14155
2023-01-09 20:00,17282.27,17303.53,17120.39,17167.7,14000
2023-01-10 00:00,17167.01,17225.29,17134.56,17195.66,13809
2023-01-10 04:00,17196.08,17223.82,17175.97,17188.63,13631
2023-01-10 08:00,17188.95,17274.6,17179.26,17247.72,13794
2023-01-10 12:00,17247.05,17370.13,17199.07,17325.71,14197
2023-01-10 16:00,17325.94,17456.59,17274.09,17427.06,14151
2023-01-10 20:00,17427.54,17488.4,17397.49,17440.07,13995
2023-01-11 00:00,17439.66,17500.09,17359.05,17409.05,13919
2023-01-11 04:00,17408.8,17455.37,17381.26,17442.56,13795
2023-01-11 08:00,17441.9,17466.84,17403.88,17431.11,13744
2023-01-11 12:00,17430.8,17432.26,17304.11,17320.87,13901
2023-01-11 16:00,17320.77,17544.62,17311.96,17544.62,14230
2023-01-11 20:00,17541.88,17988.54,17501.08,17927.49,14619
2023-01-12 00:00,17929.73,18360.31,17896.59,18209.14,15150
2023-01-12 04:00,18208.67,18226.8,18068.97,18119.75,14072
2023-01-12 08:00,18120.21,18204.35,18054.66,18186.27,14030
2023-01-12 12:00,18186.3,18345.97,17918.39,18068.35,16320
2023-01-12 16:00,18069.95,19038.94,18038.69,18876.12,16591
2023-01-12 20:00,18874.22,19087.63,18750.51,18836.93,15213
2023-01-13 00:00,18837.89,18880.62,18699.17,18857.6,14383
2023-01-13 04:00,18858.51,18865.8,18760.94,18813.82,14081
2023-01-13 08:00,18814.72,19038.66,18794.17,18908.02,14603
2023-01-13 12:00,18909.14,19288.78,18800.15,19253.58,15420
2023-01-13 16:00,19252.53,19381.58,19053.33,19351.55,15161
2023-01-13 20:00,19351.5,19966.56,19302.48,19905.34,15834
2023-01-14 00:00,19903.03,21273.47,19864.72,20944.13,19174
2023-01-14 04:00,20944.18,20998.27,20759.89,20888.59,14743
2023-01-14 08:00,20885.53,21007.28,20226.96,20715.91,17213
2023-01-14 12:00,20716.17,21182.18,20563.95,20774.08,17017
2023-01-14 16:00,20774.6,20893.76,20655.78,20779.85,15238
2023-01-14 20:00,20776.54,21065.44,20745.63,20953.41,14815
2023-01-15 00:00,20950.39,20995.06,20549.51,20712.85,15324
2023-01-15 04:00,20712.61,20781.76,20657.43,20726.1,14066
2023-01-15 08:00,20724.93,20752.93,20562.94,20710.76,14550
2023-01-15 12:00,20709.78,20973.3,20646.41,20911.42,14657
2023-01-15 16:00,20909.72,21038.25,20657.16,20857.04,15195
2023-01-15 20:00,20857.03,20937.32,20737.17,20859.61,14429
2023-01-16 00:00,20859.81,21418.81,20767.14,21070.59,16432
2023-01-16 04:00,21070.19,21255.38,21037.32,21106.42,14528
2023-01-16 08:00,21104.71,21108.18,20659.64,20812.41,15028
2023-01-16 12:00,20811.05,21035.18,20613.85,20981.3,15199
2023-01-16 16:00,20983.29,21388.48,20904.31,21301.84,15480
2023-01-16 20:00,21301.98,21445.18,21048.77,21176.19,14999
2023-01-17 00:00,21175.79,21291.37,20854.57,21111.66,15264
2023-01-17 04:00,21111.77,21219.26,21040.96,21122.01,14398
2023-01-17 08:00,21122.33,21236.45,21072.55,21216.34,14568
2023-01-17 12:00,21216.57,21579.11,21025.18,21160.94,16548
2023-01-17 16:00,21159.52,21406.3,21065.57,21335.22,15094
2023-01-17 20:00,21335.66,21400.08,21119.48,21126.12,14561
2023-01-18 00:00,21127.35,21378.52,21104.03,21259.29,14621
2023-01-18 04:00,21261.92,21320.29,21225.77,21308.56,14077
2023-01-18 08:00,21309.49,21317.91,21158.87,21196.96,14255
2023-01-18 12:00,21199.63,21632.95,20834.34,21024.09,16445
2023-01-18 16:00,21023.43,21127.65,20392.39,20887.42,18327
2023-01-18 20:00,20889.62,20927.41,20618.79,20654.17,15121
2023-01-19 00:00,20654.34,20803.6,20635.85,20732.79,14376
2023-01-19 04:00,20733.31,20858.45,20726.69,20804.5,14061
2023-01-19 08:00,20805.6,20833.09,20698.61,20739.93,14170
2023-01-19 12:00,20738.52,20940.35,20657.06,20860.27,14942
2023-01-19 16:00,20860.2,21119.31,20775.69,21076.74,14668
2023-01-19 20:00,21078.03,21176.83,20916.99,21068.24,14381
2023-01-20 00:00,21067.85,21203.65,20999.74,21078.0,14392
2023-01-20 04:00,21077.29,21113.62,20851.4,20945.82,14219
2023-01-20 08:00,20946.5,20975.85,20882.48,20948.78,13868
2023-01-20 12:00,20949.45,21226.25,20936.16,21127.99,14885
2023-01-20 16:00,21130.89,21523.2,21125.3,21496.31,15394
2023-01-20 20:00,21499.54,22719.3,21499.54,22655.72,17048
2023-01-21 00:00,22655.12,22764.98,22426.72,22533.58,15115
2023-01-21 04:00,22533.17,22652.78,22499.91,22622.3,14072
2023-01-21 08:00,22620.55,23299.6,22604.32,22884.01,17012
2023-01-21 12:00,22884.56,23255.02,22841.04,22980.11,15743
2023-01-21 16:00,22982.01,23323.06,22970.99,23259.43,15869
2023-01-21 20:00,23258.12,23283.98,22704.51,22781.64,15436
2023-01-22 00:00,22781.63,22954.24,22608.41,22759.01,15438
2023-01-22 04:00,22758.66,22967.95,22720.68,22892.67,14122
2023-01-22 08:00,22892.95,22930.51,22729.75,22774.78,14499
2023-01-22 12:00,22777.12,23065.96,22640.65,22784.75,15158
2023-01-22 16:00,22785.15,22944.84,22683.98,22714.95,14904
2023-01-22 20:00,22711.35,22768.1,22315.34,22710.51,16360
2023-01-23 00:00,22709.91,22813.83,22648.03,22656.29,14517
2023-01-23 04:00,22657.72,22785.36,22615.82,22695.06,14228
2023-01-23 08:00,22694.96,22940.61,22658.88,22885.9,14467
2023-01-23 12:00,22886.21,23105.42,22505.6,22839.7,16233
2023-01-23 16:00,22842.46,23146.78,22652.09,22788.2,15794
2023-01-23 20:00,22786.2,23019.66,22752.49,22908.88,14457
2023-01-24 00:00,22909.29,23117.28,22865.67,23061.28,14514
2023-01-24 04:00,23062.02,23139.99,23004.53,23036.98,14137
2023-01-24 08:00,23037.09,23069.46,22776.58,22904.99,14671
2023-01-24 12:00,22906.76,23009.03,22716.73,22918.1,15508
2023-01-24 16:00,22920.2,23047.45,22775.79,23001.78,14743
